# The closed-form law, checked against measurement
# generated by probes/model.py --check on 2026-08-17T06:20:40Z
# repo commit  414ef20
# gcc          gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
# python3      Python 3.14.4
# pcrec        /home/duxevents/pcrec/worktrees/k23/build/pcrec
#
m    M    p    n            measured            law     diff
10   20   10   100          10621636       10621636        0
10   15   10   100           1329312        1329312        0
10   12   10   100             24150          24150        0
11   22   11   121         111354519      111354519        0
7    12   7    49               8626           8626        0
8    14   8    64              70731          70731        0
5    10   5    25                346            346        0
3    6    3    9                  13             13        0
2    3    2    4                   2              2        0

9 of 9 rows exact; the law is stated with the -p term already applied, so a nonzero diff is a REFUTATION, not a residual.

# Where the law crosses the 10^6 default budget
# generated by probes/model.py --grid on 2026-08-17T06:20:40Z
# repo commit  414ef20
# gcc          gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
# python3      Python 3.14.4
# pcrec        /home/duxevents/pcrec/worktrees/k23/build/pcrec
#
Smallest inner MINIMUM m at which the family (a{m,m+w}){m,P} exceeds a 1000000-step budget
at its own exact-minimum subject length n = m*m, by inner-range WIDTH w.

width  first m  n = m*m               steps
0      >39      -                         -
1      20       400                 1048556
2      14       196                 1902423
3      12       144                 1990783
4      11       121                 2427977
5      10       100                 1329312
6      10       100                 2585944
7      10       100                 4257497
8      10       100                 6254283
9      9        81                  1097407
10     9        81                  1316491
11     9        81                  1516348
12     9        81                  1693525
