m=2  exact    [0-9]{2}x      forward edges = 1  OK
m=2  nullable [a-z]{0,2}     forward edges = 1  OK
m=3  exact    [0-9]{3}x      forward edges = 1  OK
m=3  nullable [a-z]{0,3}     forward edges = 1  OK
m=4  exact    [0-9]{4}x      forward edges = 1  OK
m=4  nullable [a-z]{0,4}     forward edges = 1  OK
m=8  exact    [0-9]{8}x      forward edges = 1  OK
m=8  nullable [a-z]{0,8}     forward edges = 1  OK
OUT=out PCREC=/home/duxevents/pcrec/build/pcrec ./run_floor.sh
m=2  exact    pattern [0-9]{2}x        forward edges=1
m=2  nullable pattern [a-z]{0,2}       forward edges=1
m=3  exact    pattern [0-9]{3}x        forward edges=1
m=3  nullable pattern [a-z]{0,3}       forward edges=1
m=4  exact    pattern [0-9]{4}x        forward edges=1
m=4  nullable pattern [a-z]{0,4}       forward edges=1
m=8  exact    pattern [0-9]{8}x        forward edges=1
m=8  nullable pattern [a-z]{0,8}       forward edges=1

round  m  family    edge     noedge   edge/noedge
    1  2  exact     2.3414   2.3072     1.0148
    1  2  nullable  3.2058   3.8333     0.8363
    1  3  exact     3.5532   1.4314     2.4823
    1  3  nullable  2.3899   3.0063     0.7949
    1  4  exact     1.1410   1.1462     0.9955
    1  4  nullable  2.1087   2.1511     0.9803
    1  8  exact     0.7473   0.7421     1.0071
    1  8  nullable  1.6454   1.6497     0.9974
    2  2  exact     4.4896   2.3109     1.9428
    2  2  nullable  3.2656   3.8496     0.8483
    2  3  exact     1.7464   1.7482     0.9990
    2  3  nullable  2.9342   3.1060     0.9447
    2  4  exact     1.3933   1.3904     1.0021
    2  4  nullable  2.5416   2.3899     1.0635
    2  8  exact     0.6329   0.6364     0.9945
    2  8  nullable  1.5939   1.6521     0.9648
    3  2  exact     2.3028   2.3242     0.9908
    3  2  nullable  5.5284   3.0579     1.8079
    3  3  exact     1.4270   1.4524     0.9825
    3  3  nullable  2.9489   2.9577     0.9970
    3  4  exact     1.3943   1.3842     1.0073
    3  4  nullable  2.4613   2.6040     0.9452
    3  8  exact     0.7862   0.7734     1.0165
    3  8  nullable  2.0303   2.8359     0.7159
    4  2  exact     2.8935   1.8896     1.5313
    4  2  nullable  2.6428   2.9822     0.8862
    4  3  exact     1.4338   1.4460     0.9916
    4  3  nullable  2.3141   2.4437     0.9469
    4  4  exact     1.1459   1.1399     1.0052
    4  4  nullable  2.4181   2.6261     0.9208
    4  8  exact     0.7780   0.7640     1.0183
    4  8  nullable  1.5799   1.6436     0.9612
    5  2  exact     2.3055   2.3034     1.0009
    5  2  nullable  3.2466   3.5857     0.9054
    5  3  exact     1.7492   1.7434     1.0033
    5  3  nullable  3.4140   2.6021     1.3120
    5  4  exact     1.1379   1.1495     0.9899
    5  4  nullable  4.0130   2.0152     1.9913
    5  8  exact     0.6351   0.6345     1.0008
    5  8  nullable  2.0080   1.6608     1.2091
    6  2  exact     2.2959   2.2994     0.9985
    6  2  nullable  3.2402   3.6912     0.8778
